No.,ID,line
1,1,WT-3-C2
2,2,WT-4-C2
3,3,WT-1-C2
4,4,WT-3-C3
5,5,WT-4-C3
6,6,WT-5-C3
7,7,WT-1-C3
8,8,WT-5-C2
9,9,WT-2-C2
10,10,WT-2-C3
11,11,T1T2-5-C3-L
12,12,T1T2-5-C3-S
13,13,T1T2-5-C2-L
14,14,T1T2-5-C2-S
15,15,T1T2-4-C3-L
16,16,T1T2-4-C3-S
17,17,T1T2-4-C2-L
18,18,T1T2-4-C2-S
19,19,T1T2-3-C3
20,20,T1T2-3-C2
21,21,T1T2-2-C3
22,22,T1T2-2-C2
23,23,T1T2-1-C3
24,24,T1T2-1-C2
25,25,T1-1-C3-L
26,26,T1-2-C3-L
27,27,T1-4-C2-L
28,28,T1-5-C3
29,29,T1-1-C3-S
30,30,T1-2-C3-S
31,31,T1-4-C2-S
32,32,T1-5-C2
33,33,T1-1-C2-L
34,34,T1-2-C2-L
35,35,T1-3-C3
36,36,T1-4-C3-L
37,37,T1-1-C2-S
38,38,T1-2-C2-S
39,39,T1-3-C2
40,40,T1-4-C3-S
41,41,T1-3-C3-L
42,42,T1-3-C3-S
43,43,T1-3-C2-L
44,44,T1-3-C2-S
45,45,T1-4-C2-S
46,46,G1G2-5-P
47,47,G1G2-4-P
48,48,G1G2-3-P
49,49,G1G2-2-P
50,52,G1-4-P
51,53,G1-3-P
52,54,G1-2-P
53,55,G1-1-P
54,56,WT-1-C
55,57,WT-2-C
56,58,WT-3-C
57,59,WT-4-C
58,60,WT-5-C
59,61,T1-1-S-C
60,62,T1-1-L-C
61,63,T1-2-S-C
62,64,T1-2-L-C
63,65,T1-3-S-C
64,66,T1-3-L-C
65,67,T1-4-C
66,68,T1-5-C
67,69,T1T2-1-C
68,70,T1T2-2-C
69,71,T1T2-3-C
70,72,T1T2-4-S-C
71,73,T1T2-4-L-C
72,74,T1T2-5-S-C
73,75,T1T2-5-L-C
74,76,ANCESTOR-C
75,77,WT-1-P
76,78,WT-2-P
77,79,WT-3-P
78,80,WT-4-P
79,81,WT-5-P
80,82,T1-1-P
81,83,T1-2-P
82,84,T1-3-P
83,85,T1-4-P
84,86,T1-5-P
85,87,T1T2-1-P
86,88,T1T2-2-P
87,89,T1T2-3-P
88,90,T1T2-4-P
89,91,T1T2-5-P
90,92,ANCESTOR-P
